"day","price_usd","participants","active_participants","announced","open","funded","operating","matured_closed","reserves_cclx","fees_cclx","protocol_retained_fees_cclx","fees_indicative_usd","protocol_retained_value_usd","modeled_costs_usd","net_protocol_result_usd","deposit_volume_cclx","withdrawal_volume_cclx","migration_volume_cclx","rejected","p95_slippage","accounting_residual_cclx"
"0","0.275","300","300","0","3","0","0","0","5500022.335375165","0.04476027087144649","0.03357020315358487","0.012309074489647786","0.00923180586723584","0","0.00923180586723584","22.380135435723243","0","0","0","6.309528219894389e-7","-9.313225746154785e-10"
"1","0.275","300","300","0","3","0","0","0","5500039.571338071","0.07930127869779541","0.059475959023346556","0.021807851641893736","0.016355888731420305","0","0.016355888731420305","39.6506393488977","0","0","0","0.000001332666014874917","0"
"2","0.275","300","300","0","3","0","0","0","5500153.828396697","0.3082733400737579","0.23120500505531844","0.08477516852028343","0.06358137639021258","0","0.06358137639021258","154.13667003687894","0","0","0","0.000002712683226380186","-9.313225746154785e-10"
"3","0.275","300","300","0","3","0","0","0","5500803.542802289","1.61030621701376","1.20772966276032","0.44283420967878406","0.33212565725908805","0","0.33212565725908805","805.15310850688","0","0","0","0.000021933431042553408","-9.313225746154785e-10"
"4","0.275","300","300","0","3","0","0","0","5500965.102396725","1.934072939329058","1.4505547044967937","0.5318700583154911","0.3989025437366183","0","0.3989025437366183","967.0364696645291","0","0","0","0.000004351594210016962","0"
"5","0.275","300","300","0","3","0","0","0","5501036.3078959985","2.0905655099678286","1.5679241324758715","0.574905515241153","0.4311791364308647","0","0.4311791364308647","1038.3984615088993","0","3.438701145177707","0","0.0000030980252511580983","-9.313225746154785e-10"
"6","0.275","300","300","0","3","0","0","0","5501585.635147933","3.1914217262691","2.393566294701825","0.8776409747240027","0.6582307310430019","0","0.6582307310430019","1588.826569659535","0","3.438701145177707","0","0.000012581489140617296","0"
"7","0.275","300","300","0","3","0","0","0","5501690.004509215","3.400578762908666","2.5504340721814995","0.9351591597998834","0.7013693698499124","0","0.7013693698499124","1693.405087979318","0","3.438701145177707","0","0.0000020613879072040042","-9.313225746154785e-10"
"8","0.275","300","300","0","3","0","0","0","5501690.004509215","3.400578762908666","2.5504340721814995","0.9351591597998834","0.7013693698499124","0","0.7013693698499124","1693.405087979318","0","3.438701145177707","0","0","-9.313225746154785e-10"
"9","0.275","300","300","0","3","0","0","0","5501690.004509215","3.400578762908666","2.5504340721814995","0.9351591597998834","0.7013693698499124","0","0.7013693698499124","1693.405087979318","0","3.438701145177707","1","0","-9.313225746154785e-10"
"10","0.275","300","300","0","3","0","0","0","5501714.843080934","3.4503554597402646","2.587766594805198","0.948847751428573","0.7116358135714296","0","0.7116358135714296","1718.2934363951174","0","3.438701145177707","0","7.01620826992766e-7","-9.313225746154785e-10"
"11","0.275","300","300","0","3","0","0","0","5501868.0020761425","3.9693436443976804","2.9770077332982603","1.0915695022093623","0.8186771266570216","0","0.8186771266570216","1924.8265132404608","52.96101548336446","3.438701145177707","0","0.000008338389096973486","-9.313225746154785e-10"
"12","0.275","300","300","0","3","0","0","0","5502133.13895219","4.516154854036735","3.387116140527551","1.2419425848601022","0.9314569386450766","0","0.9314569386450766","2190.51020049733","52.96101548336446","7.2957951029017565","0","0.000004214399338797747","-1.862645149230957e-9"
"13","0.275","300","300","0","3","0","0","0","5502492.881686974","5.237082178253921","3.9278116336904407","1.4401975990198284","1.0801481992648714","0","1.0801481992648714","2550.9738626059234","52.96101548336446","7.2957951029017565","0","0.000008093207127313206","-9.313225746154785e-10"
"14","0.275","300","300","0","3","0","0","0","5502492.881686974","5.237082178253921","3.9278116336904407","1.4401975990198284","1.0801481992648714","0","1.0801481992648714","2550.9738626059234","52.96101548336446","7.2957951029017565","0","0","-9.313225746154785e-10"
"15","0.275","300","300","0","3","0","0","0","5502896.551161358","6.046039040746771","4.534529280560078","1.6626607362053623","1.2469955521540217","0","1.2469955521540217","2955.4522938523482","52.96101548336446","7.2957951029017565","0","0.000008294171285039285","-9.313225746154785e-10"
"16","0.275","300","300","0","3","0","0","0","5503220.623449787","6.695482504530101","5.021611878397576","1.841257688745778","1.3809432665593335","0","1.3809432665593335","3280.1740257440138","52.96101548336446","7.2957951029017565","0","0.000020893343014194432","-9.313225746154785e-10"
"17","0.275","300","300","0","3","0","0","0","5503437.782718828","7.130671420444446","5.348003565333334","1.9609346406222228","1.470700980466667","0","1.470700980466667","3497.768483701186","52.96101548336446","7.2957951029017565","0","0.000006133488845039281","-9.313225746154785e-10"
"18","0.275","300","300","0","3","0","0","0","5504695.251494739","9.650648927280237","7.237986695460178","2.653928455002066","1.990446341251549","0","1.990446341251549","4757.757237119082","52.96101548336446","7.2957951029017565","0","0.00005322714284337059","0"
"19","0.275","300","300","0","3","0","0","0","5505259.952336373","10.782313940573108","8.086735455429832","2.965136333657605","2.223852250243204","0","2.223852250243204","5323.589743765518","52.96101548336446","7.2957951029017565","0","0.000005807998794926661","-9.313225746154785e-10"
"20","0.275","300","300","0","3","0","0","0","5505312.170913708","10.886960388140675","8.165220291105506","2.993914106738686","2.2454355800540142","0","2.2454355800540142","5375.912967549301","52.96101548336446","7.2957951029017565","0","0.0000014747725751718122","-9.313225746154785e-10"
"21","0.275","300","300","0","3","0","0","0","5505550.682941416","11.364940403589248","8.523705302691937","3.125358610987044","2.344018958240283","0","2.344018958240283","5614.902975273588","52.96101548336446","7.2957951029017565","0","0.000005127204942168007","-9.313225746154785e-10"
"22","0.275","300","300","0","3","0","0","0","5505550.682941416","11.364940403589248","8.523705302691937","3.125358610987044","2.344018958240283","0","2.344018958240283","5614.902975273588","52.96101548336446","7.2957951029017565","0","0","-9.313225746154785e-10"
"23","0.275","300","300","0","3","0","0","0","5506078.108155847","12.421904761163018","9.316428570872263","3.4160238093198303","2.562017856989873","0","2.562017856989873","6143.385154060473","52.96101548336446","7.2957951029017565","0","0.000009709899896193087","0"
"24","0.275","300","300","0","3","0","0","0","5506674.897478097","13.617875346836142","10.213406510127106","3.7449157203799386","2.808686790284954","0","2.808686790284954","6741.3704468970345","52.96101548336446","7.2957951029017565","0","0.000007495684673664015","-9.313225746154785e-10"
"25","0.275","300","300","0","3","0","0","0","5507026.468370612","14.322426233638978","10.741819675229234","3.9386672142507186","2.9540004106880398","0","2.9540004106880398","7093.645890298453","52.96101548336446","7.2957951029017565","0","0.000009300921700727826","-9.313225746154785e-10"
"26","0.275","300","300","0","3","0","0","0","5507086.413915639","14.442557586398838","10.831918189799127","3.9717033362596803","2.9787775021947605","0","2.9787775021947605","7153.711566678383","52.96101548336446","7.2957951029017565","0","0.0000028943264331893204","-9.313225746154785e-10"
"27","0.275","300","300","0","3","0","0","0","5507479.572766012","15.36474891762812","11.523561688221088","4.225305952347733","3.1689794642607994","0","3.1689794642607994","7578.255796534592","83.48525210982189","10.306378052706364","0","0.000008936000766146534","0"
"28","0.275","300","300","0","3","0","0","0","5508650.947543482","17.995054602188386","13.496290951641289","4.948640015601805","3.7114800117013544","0","3.7114800117013544","8822.764114728456","154.12977619608864","10.306378052706364","0","0.00003020186911233402","0"
