"eventId","day","participantId","cohortId","action","originProject","destinationProject","requestedAmount","unit","executedAmount","sharesBurned","sharesMinted","gross","net","feesCCLX","currency","provenance","status","rejectionReason","capitalNew","capitalRecycled","cannibalizedCapital"
"e2","0","u00180","rebalancer","deposit","wallet","solar","22.380135435723243","CCLX","22.380135435723243","0","18.76987372804433","22.380135435723243","22.335375164851797","0.04476027087144649","CCLX","unrestricted","executed","","22.380135435723243","0",""
"e3","1","u00124","long_term","deposit","wallet","mangrove","17.270503913174455","CCLX","17.270503913174455","0","17.500445516081527","17.270503913174455","17.235962905348106","0.03454100782634891","CCLX","unrestricted","executed","","17.270503913174455","0",""
"e5","2","u00216","active_user","deposit","wallet","forest","57.471984901656654","CCLX","57.471984901656654","0","51.46651204908267","57.471984901656654","57.35704093185334","0.11494396980331331","CCLX","unrestricted","executed","","57.471984901656654","0",""
"e6","2","u00056","active_user","deposit","wallet","solar","57.014045786324594","CCLX","57.014045786324594","0","47.81669208081439","57.014045786324594","56.900017694751945","0.11402809157264919","CCLX","unrestricted","executed","","57.014045786324594","0",""
"e8","3","u00196","rebalancer","deposit","wallet","solar","73.49407865349913","CCLX","73.49407865349913","0","61.637983245775104","73.49407865349913","73.34709049619214","0.14698815730699827","CCLX","unrestricted","executed","","73.49407865349913","0",""
"e9","3","u00084","restricted_user","deposit","wallet","solar","77.02950956377167","CCLX","77.02950956377167","0","64.60280282516032","77.02950956377167","76.87545054464412","0.15405901912754333","CCLX","restricted","executed","","77.02950956377167","0",""
"e10","3","u00240","rebalancer","deposit","wallet","forest","500.4928502527303","CCLX","500.4928502527303","0","448.1823354582302","500.4928502527303","499.49186455222485","1.0009857005054605","CCLX","unrestricted","executed","","500.4928502527303","0",""
"e11","4","u00126","active_user","deposit","wallet","forest","43.334013521371226","CCLX","43.334013521371226","0","38.80381148424931","43.334013521371226","43.247345494328485","0.08666802704274246","CCLX","unrestricted","executed","","43.334013521371226","0",""
"e12","4","u00039","active_user","deposit","wallet","forest","23.06465815625595","CCLX","23.06465815625595","0","20.65337847941555","23.06465815625595","23.018528839943436","0.046129316312511895","CCLX","unrestricted","executed","","23.06465815625595","0",""
"e14","4","u00108","active_user","deposit","wallet","forest","95.48468948002183","CCLX","95.48468948002183","0","85.50181612488814","95.48468948002183","95.29372010106178","0.19096937896004365","CCLX","unrestricted","executed","","95.48468948002183","0",""
"e16","5","u00039","active_user","migration","forest","mangrove","3.09152685476422","receipts","3.438701145177707","3.09152685476422","3.4844788648188114","3.445592329837382","3.4318237428873517","0.013768586950030179","CCLX","unrestricted","executed","","0","3.438701145177707","3.438701145177707"
"e17","5","u00046","long_term","deposit","wallet","solar","27.88454224546231","CCLX","27.88454224546231","0","23.386027857661247","27.88454224546231","27.828773160971384","0.055769084490924624","CCLX","unrestricted","executed","","27.88454224546231","0",""
"e18","5","u00063","rebalancer","deposit","wallet","mangrove","43.4774495989079","CCLX","43.4774495989079","0","44.05608378699981","43.4774495989079","43.39049469971009","0.08695489919781581","CCLX","unrestricted","executed","","43.4774495989079","0",""
"e19","6","u00022","active_user","deposit","wallet","mangrove","105.63337254086404","CCLX","105.63337254086404","0","107.03799806372263","105.63337254086404","105.42210579578231","0.2112667450817281","CCLX","unrestricted","executed","","105.63337254086404","0",""
"e20","6","u00251","rebalancer","deposit","wallet","mangrove","173.19035728132033","CCLX","173.19035728132033","0","175.48952436167747","173.19035728132033","172.8439765667577","0.3463807145626407","CCLX","unrestricted","executed","","173.19035728132033","0",""
"e21","6","u00154","rebalancer","deposit","wallet","forest","17.99869740696843","CCLX","17.99869740696843","0","16.11686038877815","17.99869740696843","17.962700012154492","0.03599739481393686","CCLX","unrestricted","executed","","17.99869740696843","0",""
"e22","6","u00236","active_user","deposit","wallet","solar","253.60568092148299","CCLX","253.60568092148299","0","212.69068729598075","253.60568092148299","253.09846955964002","0.507211361842966","CCLX","unrestricted","executed","","253.60568092148299","0",""
"e23","7","u00265","active_user","deposit","wallet","solar","75.43847057658674","CCLX","75.43847057658674","0","63.26716051530093","75.43847057658674","75.28759363543357","0.1508769411531735","CCLX","unrestricted","executed","","75.43847057658674","0",""
"e24","7","u00211","active_user","deposit","wallet","solar","29.140047743196323","CCLX","29.140047743196323","0","24.43849442852661","29.140047743196323","29.08176764770993","0.058280095486392645","CCLX","unrestricted","executed","","29.140047743196323","0",""
"e25","9","u00181","rebalancer","deposit","","","0","CCLX","0","0","0","0","0","0","CCLX","unrestricted","rejected","Insufficient available wallet balance.","0","0",""
"e26","10","u00064","active_user","deposit","wallet","solar","24.888348415799307","CCLX","24.888348415799307","0","20.872746780049056","24.888348415799307","24.838571718967707","0.04977669683159861","CCLX","unrestricted","executed","","24.888348415799307","0",""
"e27","11","u00236","active_user","withdraw","solar","wallet","44.50508491562156","receipts","52.85509345239773","44.50508491562156","0","52.96101548336446","52.85509345239773","0.10592203096672893","CCLX","unrestricted","executed","","0","52.85509345239773",""
"e28","11","u00291","rebalancer","deposit","wallet","mangrove","109.27332794580971","CCLX","109.27332794580971","0","110.72155933245085","109.27332794580971","109.0547812899181","0.21854665589161942","CCLX","unrestricted","executed","","109.27332794580971","0",""
"e29","11","u00135","rebalancer","deposit","wallet","mangrove","97.25974889953373","CCLX","97.25974889953373","0","98.54719045455568","97.25974889953373","97.06522940173467","0.19451949779906746","CCLX","unrestricted","executed","","97.25974889953373","0",""
