month,failProbability,unlockFailProbability,queueProbability,zone
1,0,0,0,"Normal"
2,0,0,0,"Normal"
3,0,0,0,"Normal"
4,0.12,0.11,0,"Normal"
5,0.25,0.23,0.01,"Watch"
6,0.42,0.34,0.03,"Watch"
7,0.59,0.54,0.1,"Critical"
8,0.68,0.67,0.15,"Critical"
9,0.74,0.74,0.27,"Critical"
10,0.82,0.82,0.32,"Critical"
11,0.85,0.85,0.42,"Critical"
12,0.88,0.88,0.46,"Critical"
13,0.89,0.88,0.58,"Critical"
14,0.91,0.91,0.65,"Critical"
15,0.93,0.93,0.62,"Critical"
16,0.93,0.93,0.64,"Critical"
17,0.96,0.94,0.64,"Critical"
18,0.96,0.96,0.64,"Critical"
19,0.96,0.95,0.6,"Critical"
20,0.94,0.94,0.57,"Critical"
21,0.94,0.94,0.57,"Critical"
22,0.95,0.94,0.6,"Critical"
23,0.96,0.96,0.61,"Critical"
24,0.96,0.95,0.62,"Critical"
25,0.95,0.95,0.65,"Critical"
26,0.95,0.95,0.65,"Critical"
27,0.95,0.95,0.66,"Critical"
28,0.94,0.94,0.65,"Critical"
29,0.95,0.95,0.66,"Critical"
30,0.96,0.95,0.66,"Critical"
31,0.96,0.96,0.65,"Critical"
32,0.96,0.94,0.65,"Critical"
33,0.96,0.94,0.67,"Critical"
34,0.95,0.94,0.68,"Critical"
35,0.93,0.93,0.68,"Critical"
36,0.93,0.92,0.68,"Critical"
