month,unlocked,restricted,rewardCeiling,expectedSell,pressure,depth,coverage,requiredDepth,gap
1,1763888.8888888895,0,416666.6666666666,332638.88888888905,91475.6944444445,606030.3038033001,6.6250418483716205,109770.83333333339,0
2,1763888.8888888876,0,833333.3333333333,332638.8888888886,91475.69444444437,606030.3038033001,6.62504184837163,109770.83333333324,0
3,1763888.8888888895,0,1250000,332638.88888888905,91475.6944444445,606030.3038033001,6.6250418483716205,109770.83333333339,0
4,2430555.555555555,0,1666666.6666666665,565972.222222222,155642.36111111107,606030.3038033001,3.893736251987741,186770.83333333328,0
5,2430555.555555557,0,2083333.3333333335,565972.2222222225,155642.36111111118,606030.3038033001,3.893736251987738,186770.8333333334,0
6,2430555.555555555,0,2500000,565972.222222222,155642.36111111107,606030.3038033001,3.893736251987741,186770.83333333328,0
7,2486111.111111111,0,2916666.666666667,652083.3333333331,179322.91666666663,606030.3038033001,3.3795474391586886,215187.49999999994,0
8,2486111.111111111,0,3333333.333333333,652083.3333333331,179322.91666666663,606030.3038033001,3.3795474391586886,215187.49999999994,0
9,2486111.1111111115,0,3750000,652083.3333333334,179322.9166666667,606030.3038033001,3.3795474391586877,215187.50000000003,0
10,2782407.4074074076,0,4166666.666666667,755787.0370370371,207841.43518518523,606030.3038033001,2.9158300570015383,249409.72222222225,0
11,2782407.407407407,0,4583333.333333333,755787.0370370368,207841.43518518514,606030.3038033001,2.915830057001539,249409.72222222216,0
12,2782407.4074074067,0,5000000,755787.0370370368,207841.43518518514,606030.3038033001,2.915830057001539,249409.72222222216,0
13,3649074.074074074,500000,5375000,992453.7037037037,272924.76851851854,606030.3038033001,2.2205031338596872,327509.72222222225,0
14,3649074.0740740728,500000,5750000,992453.7037037034,272924.7685185184,606030.3038033001,2.220503133859688,327509.7222222221,0
15,3649074.0740740756,500000,6125000,992453.7037037042,272924.76851851866,606030.3038033001,2.2205031338596863,327509.72222222236,0
16,3649074.074074073,500000,6500000,992453.7037037035,272924.7685185185,606030.3038033001,2.2205031338596877,327509.7222222222,0
17,3649074.0740740774,500000,6875000,992453.7037037044,272924.7685185187,606030.3038033001,2.220503133859686,327509.7222222224,0
18,3649074.0740740714,500000,7250000,992453.7037037028,272924.7685185183,606030.3038033001,2.220503133859689,327509.72222222196,0
19,2982407.407407408,500000,7625000,759120.3703703705,208758.10185185188,606030.3038033001,2.903026509760939,250509.72222222225,0
20,2982407.407407408,500000,8000000,759120.3703703706,208758.1018518519,606030.3038033001,2.9030265097609385,250509.72222222228,0
21,2982407.4074074076,500000,8375000,759120.3703703706,208758.1018518519,606030.3038033001,2.9030265097609385,250509.72222222228,0
22,2982407.4074074063,500000,8750000,759120.3703703699,208758.10185185174,606030.3038033001,2.9030265097609407,250509.72222222207,0
23,2982407.407407407,500000,9125000,759120.3703703706,208758.1018518519,606030.3038033001,2.9030265097609385,250509.72222222228,0
24,2982407.407407408,500000,9500000,759120.3703703706,208758.1018518519,606030.3038033001,2.9030265097609385,250509.72222222228,0
25,2426851.8518518517,500000,9833333.333333334,564675.9259259256,155285.87962962955,606030.3038033001,3.9026748938714557,186343.05555555545,0
26,2426851.8518518526,500000,10166666.666666666,564675.9259259264,155285.87962962978,606030.3038033001,3.90267489387145,186343.05555555574,0
27,2426851.8518518507,500000,10500000,564675.9259259255,155285.87962962952,606030.3038033001,3.9026748938714566,186343.05555555542,0
28,2426851.8518518517,500000,10833333.333333334,564675.9259259258,155285.8796296296,606030.3038033001,3.9026748938714544,186343.05555555553,0
29,2426851.8518518535,500000,11166666.666666666,564675.9259259263,155285.87962962975,606030.3038033001,3.9026748938714504,186343.0555555557,0
30,2426851.85185185,500000,11500000,564675.9259259256,155285.87962962955,606030.3038033001,3.9026748938714557,186343.05555555545,0
31,2093518.5185185177,500000,11833333.333333334,464675.9259259256,127785.87962962955,606030.3038033001,4.742545150996329,153343.05555555545,0
32,2093518.5185185215,500000,12166666.666666666,464675.9259259268,127785.87962962987,606030.3038033001,4.742545150996317,153343.05555555582,0
33,2093518.5185185159,500000,12500000,464675.9259259254,127785.87962962949,606030.3038033001,4.742545150996331,153343.0555555554,0
34,2093518.5185185205,500000,12833333.333333334,464675.9259259264,127785.87962962978,606030.3038033001,4.74254515099632,153343.05555555574,0
