month,liquid,restricted,governed,rewardCeiling,liquidDelta,restrictedDelta,scheduledSellTokens
0,8000000,0,8000000,0,8000000,0,1650000
1,9763888.88888889,0,8000000,416666.6666666666,1763888.8888888895,0,332638.88888888905
2,11527777.777777776,0,8000000,833333.3333333333,1763888.8888888876,0,332638.8888888886
3,13291666.666666666,0,8000000,1250000,1763888.8888888895,0,332638.88888888905
4,15722222.222222222,0,8000000,1666666.6666666665,2430555.555555555,0,565972.222222222
5,18152777.77777778,0,8000000,2083333.3333333335,2430555.555555557,0,565972.2222222225
6,20583333.333333332,0,8000000,2500000,2430555.555555555,0,565972.222222222
7,23069444.444444444,0,8000000,2916666.666666667,2486111.111111111,0,652083.3333333331
8,25555555.555555556,0,8000000,3333333.333333333,2486111.111111111,0,652083.3333333331
9,28041666.666666664,0,8000000,3750000,2486111.1111111115,0,652083.3333333334
10,30824074.074074075,0,8000000,4166666.666666667,2782407.4074074076,0,755787.0370370371
11,33606481.48148148,0,8000000,4583333.333333333,2782407.407407407,0,755787.0370370368
12,36388888.88888889,0,8000000,5000000,2782407.4074074067,0,755787.0370370368
13,40037962.96296296,500000,8000000,5375000,3649074.074074074,500000,992453.7037037037
14,43687037.03703703,1000000,8000000,5750000,3649074.0740740728,500000,992453.7037037034
15,47336111.11111111,1500000,8000000,6125000,3649074.0740740756,500000,992453.7037037042
16,50985185.185185194,2000000,8000000,6500000,3649074.074074073,500000,992453.7037037035
17,54634259.25925926,2500000,8000000,6875000,3649074.0740740774,500000,992453.7037037044
18,58283333.33333333,3000000,8000000,7250000,3649074.0740740714,500000,992453.7037037028
19,61265740.74074074,3500000,8000000,7625000,2982407.407407408,500000,759120.3703703705
20,64248148.14814815,4000000,8000000,8000000,2982407.407407408,500000,759120.3703703706
21,67230555.55555555,4500000,8000000,8375000,2982407.4074074076,500000,759120.3703703706
22,70212962.96296296,5000000,8000000,8750000,2982407.4074074063,500000,759120.3703703699
23,73195370.37037037,5500000,8000000,9125000,2982407.407407407,500000,759120.3703703706
24,76177777.77777778,6000000,8000000,9500000,2982407.407407408,500000,759120.3703703706
25,78604629.62962963,6500000,8000000,9833333.333333334,2426851.8518518517,500000,564675.9259259256
26,81031481.48148149,7000000,8000000,10166666.666666666,2426851.8518518526,500000,564675.9259259264
27,83458333.33333333,7500000,8000000,10500000,2426851.8518518507,500000,564675.9259259255
28,85885185.18518518,8000000,8000000,10833333.333333334,2426851.8518518517,500000,564675.9259259258
29,88312037.03703703,8500000,8000000,11166666.666666666,2426851.8518518535,500000,564675.9259259263
30,90738888.8888889,9000000,8000000,11500000,2426851.85185185,500000,564675.9259259256
31,92832407.40740742,9500000,8000000,11833333.333333334,2093518.5185185177,500000,464675.9259259256
32,94925925.92592593,10000000,8000000,12166666.666666666,2093518.5185185215,500000,464675.9259259268
33,97019444.44444443,10500000,8000000,12500000,2093518.5185185159,500000,464675.9259259254
34,99112962.96296296,11000000,8000000,12833333.333333334,2093518.5185185205,500000,464675.9259259264
35,101206481.48148148,11500000,8000000,13166666.666666666,2093518.5185185159,500000,464675.92592592514
36,103300000,12000000,8000000,13500000,2093518.5185185205,500000,464675.9259259264
37,104791666.66666666,12000000,8000000,13791666.666666666,1491666.666666666,0,330416.6666666665
38,106283333.33333333,12000000,8000000,14083333.333333334,1491666.666666666,0,330416.6666666665
39,107775000,12000000,8000000,14375000,1491666.666666668,0,330416.666666667
40,109266666.66666667,12000000,8000000,14666666.666666666,1491666.666666668,0,330416.666666667
41,110758333.33333333,12000000,8000000,14958333.333333334,1491666.6666666642,0,330416.66666666605
42,112250000,12000000,8000000,15250000,1491666.666666668,0,330416.666666667
43,113541666.66666667,12000000,8000000,15541666.666666666,1291666.666666668,0,260416.66666666698
44,114833333.33333333,12000000,8000000,15833333.333333332,1291666.6666666642,0,260416.66666666605
45,116125000,12000000,8000000,16125000,1291666.666666668,0,260416.66666666698
46,117416666.66666667,12000000,8000000,16416666.666666668,1291666.666666668,0,260416.66666666698
47,118708333.33333333,12000000,8000000,16708333.333333332,1291666.6666666642,0,260416.66666666605
48,120000000,12000000,8000000,17000000,1291666.666666668,0,260416.66666666698
49,120000000,12000000,8000000,17250000,0,0,0
50,120000000,12000000,8000000,17500000,0,0,0
51,120000000,12000000,8000000,17750000,0,0,0
52,120000000,12000000,8000000,18000000,0,0,0
53,120000000,12000000,8000000,18250000,0,0,0
54,120000000,12000000,8000000,18500000,0,0,0
55,120000000,12000000,8000000,18750000,0,0,0
56,120000000,12000000,8000000,19000000,0,0,0
57,120000000,12000000,8000000,19250000,0,0,0
58,120000000,12000000,8000000,19500000,0,0,0
59,120000000,12000000,8000000,19750000,0,0,0
60,120000000,12000000,8000000,20000000,0,0,0
